Elapsed Sec,Evacuation Rate
596.0992,0.8221154
596.1192,0.8221154
596.1392,0.8221154
596.1592,0.8221154
596.1793,0.8221154
596.1993,0.8221154
596.2193,0.8221154
596.2393,0.8221154
596.2593,0.8221154
596.2794,0.8221154
596.2994,0.8221154
596.3194,0.8221154
596.3394,0.8221154
596.3594,0.8221154
596.3795,0.8221154
596.3995,0.8221154
596.4195,0.8221154
596.4395,0.8221154
596.4595,0.8221154
596.4796,0.8221154
596.4996,0.8221154
596.5196,0.8221154
596.5396,0.8221154
596.5596,0.8221154
596.5797,0.8221154
596.5997,0.8221154
596.6197,0.8221154
596.6397,0.8221154
596.6597,0.8221154
596.6797,0.8221154
596.6998,0.8221154
596.7198,0.8221154
596.7398,0.8221154
596.7598,0.8221154
596.7798,0.8221154
596.7999,0.8221154
596.8199,0.8221154
596.8399,0.8221154
596.8599,0.8221154
596.8799,0.8221154
596.9,0.8221154
596.92,0.8221154
596.94,0.8221154
596.96,0.8221154
596.98,0.8221154
597.0001,0.8221154
597.0201,0.8221154
597.0401,0.8221154
597.0601,0.8221154
597.0801,0.8221154
597.1002,0.8221154
597.1202,0.8221154
597.1402,0.8221154
597.1602,0.8221154
597.1802,0.8221154
597.2003,0.8221154
597.2203,0.8221154
597.2403,0.8221154
597.2603,0.8221154
597.2803,0.8221154
597.3004,0.8221154
597.3204,0.8221154
597.3404,0.8221154
597.3604,0.8221154
597.3804,0.8221154
597.4005,0.8221154
597.4205,0.8221154
597.4405,0.8221154
597.4605,0.8221154
597.4805,0.8221154
597.5005,0.8221154
597.5206,0.8221154
597.5406,0.8221154
597.5606,0.8221154
597.5806,0.8221154
597.6006,0.8221154
597.6207,0.8221154
597.6407,0.8221154
597.6607,0.8221154
597.6807,0.8221154
597.7007,0.8221154
597.7208,0.8221154
597.7408,0.8221154
597.7608,0.8221154
597.7808,0.8221154
597.8008,0.8221154
597.8209,0.8221154
597.8409,0.8221154
597.8609,0.8221154
597.8809,0.8221154
597.9009,0.8221154
597.921,0.8221154
597.941,0.8221154
597.961,0.8221154
597.981,0.8221154
598.001,0.8221154
598.0211,0.8221154
598.0411,0.8221154
598.0611,0.8221154
598.0811,0.8221154
598.1011,0.8221154
598.1212,0.8221154
598.1412,0.8221154
598.1612,0.8221154
598.1812,0.8221154
598.2012,0.8221154
598.2213,0.8221154
598.2413,0.8221154
598.2613,0.8221154
598.2813,0.8221154
598.3013,0.8221154
598.3214,0.8221154
598.3414,0.8221154
598.3614,0.8221154
598.3814,0.8221154
598.4014,0.8221154
598.4214,0.8221154
598.4415,0.8221154
598.4615,0.8221154
598.4815,0.8221154
598.5015,0.8221154
598.5215,0.8221154
598.5416,0.8221154
598.5616,0.8221154
598.5816,0.8221154
598.6016,0.8221154
598.6216,0.8221154
598.6417,0.8221154
598.6617,0.8221154
598.6817,0.8221154
598.7017,0.8221154
598.7217,0.8221154
598.7418,0.8221154
598.7618,0.8221154
598.7818,0.8221154
598.8018,0.8221154
598.8218,0.8221154
598.8419,0.8221154
598.8619,0.8221154
598.8819,0.8221154
598.9019,0.8221154
598.9219,0.8221154
598.942,0.8221154
598.962,0.8221154
598.982,0.8221154
599.002,0.8221154
599.022,0.8221154
599.0421,0.8221154
599.0621,0.8221154
599.0821,0.8221154
599.1021,0.8221154
599.1221,0.8221154
599.1422,0.8221154
599.1622,0.8221154
599.1822,0.8221154
599.2022,0.8221154
599.2222,0.8221154
599.2422,0.8221154
599.2623,0.8221154
599.2823,0.8221154
599.3023,0.8221154
599.3223,0.8221154
599.3423,0.8221154
599.3624,0.8221154
599.3824,0.8221154
599.4024,0.8221154
599.4224,0.8221154
599.4424,0.8221154
599.4625,0.8221154
599.4825,0.8221154
599.5025,0.8221154
599.5225,0.8221154
599.5425,0.8221154
599.5626,0.8221154
599.5826,0.8221154
599.6026,0.8221154
599.6226,0.8221154
599.6426,0.8221154
599.6627,0.8221154
599.6827,0.8221154
599.7027,0.8221154
599.7227,0.8221154
599.7427,0.8221154
599.7628,0.8221154
599.7828,0.8221154
599.8028,0.8221154
599.8228,0.8221154
599.8428,0.8221154
599.8629,0.8221154
599.8829,0.8221154
599.9029,0.8221154
599.9229,0.8221154
599.9429,0.8221154
599.963,0.8221154
599.983,0.8221154
600.003,0.8221154
600.023,0.8221154
600.043,0.8221154
600.063,0.8221154
600.0831,0.8221154
600.1031,0.8221154
600.1231,0.8221154
600.1431,0.8221154
600.1631,0.8221154
600.1832,0.8221154
600.2032,0.8221154
600.2232,0.8221154
600.2432,0.8221154
600.2632,0.8221154
600.2833,0.8221154
600.3033,0.8221154
600.3233,0.8221154
600.3433,0.8221154
600.3633,0.8221154
600.3834,0.8221154
600.4034,0.8221154
600.4234,0.8221154
600.4434,0.8221154
600.4634,0.8221154
600.4835,0.8221154
600.5035,0.8221154
600.5235,0.8221154
600.5435,0.8221154
600.5635,0.8221154
600.5836,0.8221154
600.6036,0.8221154
600.6236,0.8221154
600.6436,0.8221154
600.6636,0.8221154
600.6837,0.8221154
600.7037,0.8221154
600.7237,0.8221154
600.7437,0.8221154
600.7637,0.8221154
600.7838,0.8221154
600.8038,0.8221154
600.8238,0.8221154
600.8438,0.8221154
600.8638,0.8221154
600.8839,0.8221154
600.9039,0.8221154
600.9239,0.8221154
600.9439,0.8221154
600.9639,0.8221154
600.9839,0.8221154
601.004,0.8221154
601.024,0.8221154
601.044,0.8221154
